sample	tissue	path
m140310_080044	heart	m140310_080044_sherri_c100641502550000001823126010151406_s1_p0.2.bax.h5
m140310_080044	heart	m140310_080044_sherri_c100641502550000001823126010151406_s1_p0.3.bax.h5
m140310_113630	heart	m140310_113630_sherri_c100641502550000001823126010151407_s1_p0.1.bax.h5
m140310_113630	heart	m140310_113630_sherri_c100641502550000001823126010151407_s1_p0.2.bax.h5
m140310_113630	heart	m140310_113630_sherri_c100641502550000001823126010151407_s1_p0.3.bax.h5
m140220_223157	liver	m140220_223157_sherri_c100633820630000001823124709121450_s1_p0.1.bax.h5
m140220_223157	liver	m140220_223157_sherri_c100633820630000001823124709121450_s1_p0.2.bax.h5
m140220_223157	liver	m140220_223157_sherri_c100633820630000001823124709121450_s1_p0.3.bax.h5
m140221_015622	liver	m140221_015622_sherri_c100633820630000001823124709121451_s1_p0.1.bax.h5
m140221_015622	liver	m140221_015622_sherri_c100633820630000001823124709121451_s1_p0.2.bax.h5
m140221_015622	liver	m140221_015622_sherri_c100633820630000001823124709121451_s1_p0.3.bax.h5
m140221_052005	liver	m140221_052005_sherri_c100633820630000001823124709121452_s1_p0.1.bax.h5
m140221_052005	liver	m140221_052005_sherri_c100633820630000001823124709121452_s1_p0.2.bax.h5
m140221_052005	liver	m140221_052005_sherri_c100633820630000001823124709121452_s1_p0.3.bax.h5
m140221_084347	liver	m140221_084347_sherri_c100633820630000001823124709121453_s1_p0.1.bax.h5
m140221_084347	liver	m140221_084347_sherri_c100633820630000001823124709121453_s1_p0.2.bax.h5
m140221_084347	liver	m140221_084347_sherri_c100633820630000001823124709121453_s1_p0.3.bax.h5
m140221_120940	liver	m140221_120940_sherri_c100633820630000001823124709121454_s1_p0.1.bax.h5
m140221_120940	liver	m140221_120940_sherri_c100633820630000001823124709121454_s1_p0.2.bax.h5
m140221_120940	liver	m140221_120940_sherri_c100633820630000001823124709121454_s1_p0.3.bax.h5
m140221_153431	liver	m140221_153431_sherri_c100633820630000001823124709121455_s1_p0.1.bax.h5
m140221_153431	liver	m140221_153431_sherri_c100633820630000001823124709121455_s1_p0.2.bax.h5
m140221_153431	liver	m140221_153431_sherri_c100633820630000001823124709121455_s1_p0.3.bax.h5
m140225_213446	liver	m140225_213446_42142_c100631882230000001823120209121480_s1_p0.1.bax.h5
m140225_213446	liver	m140225_213446_42142_c100631882230000001823120209121480_s1_p0.2.bax.h5
m140225_213446	liver	m140225_213446_42142_c100631882230000001823120209121480_s1_p0.3.bax.h5
m140226_005728	liver	m140226_005728_42142_c100631882230000001823120209121481_s1_p0.1.bax.h5
m140226_005728	liver	m140226_005728_42142_c100631882230000001823120209121481_s1_p0.2.bax.h5
m140226_005728	liver	m140226_005728_42142_c100631882230000001823120209121481_s1_p0.3.bax.h5
m140226_042308	liver	m140226_042308_42142_c100631882230000001823120209121482_s1_p0.1.bax.h5
m140226_042308	liver	m140226_042308_42142_c100631882230000001823120209121482_s1_p0.2.bax.h5
m140226_042308	liver	m140226_042308_42142_c100631882230000001823120209121482_s1_p0.3.bax.h5
m140226_074514	liver	m140226_074514_42142_c100631882230000001823120209121483_s1_p0.1.bax.h5
m140226_074514	liver	m140226_074514_42142_c100631882230000001823120209121483_s1_p0.2.bax.h5
m140226_074514	liver	m140226_074514_42142_c100631882230000001823120209121483_s1_p0.3.bax.h5
m140226_110708	liver	m140226_110708_42142_c100631882230000001823120209121484_s1_p0.1.bax.h5
m140226_110708	liver	m140226_110708_42142_c100631882230000001823120209121484_s1_p0.2.bax.h5
m140226_110708	liver	m140226_110708_42142_c100631882230000001823120209121484_s1_p0.3.bax.h5
m140320_000816	liver	m140320_000816_sherri_c110027181910000001823097005201470_s1_p0.1.bax.h5
m140320_000816	liver	m140320_000816_sherri_c110027181910000001823097005201470_s1_p0.2.bax.h5
m140320_000816	liver	m140320_000816_sherri_c110027181910000001823097005201470_s1_p0.3.bax.h5
m140320_033434	liver	m140320_033434_sherri_c110027181910000001823097005201471_s1_p0.1.bax.h5
m140320_033434	liver	m140320_033434_sherri_c110027181910000001823097005201471_s1_p0.2.bax.h5
m140320_033434	liver	m140320_033434_sherri_c110027181910000001823097005201471_s1_p0.3.bax.h5
m140320_070202	liver	m140320_070202_sherri_c110027181910000001823097005201472_s1_p0.1.bax.h5
m140320_070202	liver	m140320_070202_sherri_c110027181910000001823097005201472_s1_p0.2.bax.h5
m140320_070202	liver	m140320_070202_sherri_c110027181910000001823097005201472_s1_p0.3.bax.h5
m140320_103039	liver	m140320_103039_sherri_c110027181910000001823097005201473_s1_p0.1.bax.h5
m140320_103039	liver	m140320_103039_sherri_c110027181910000001823097005201473_s1_p0.2.bax.h5
m140320_103039	liver	m140320_103039_sherri_c110027181910000001823097005201473_s1_p0.3.bax.h5
m140320_135907	liver	m140320_135907_sherri_c110027181910000001823097005201474_s1_p0.1.bax.h5
m140320_135907	liver	m140320_135907_sherri_c110027181910000001823097005201474_s1_p0.2.bax.h5
